id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
649219823299860971,Luxury 1 bd with massive 1000 sq ft Terrace (FIDI),359903354,Kamrun,,Ward F (councilmember Jermaine D. Robinson),40.70593,-74.00658,Entire home/apt,500,30,0,,,2,365,0,
649265769107676530,Sophisticated Studio w/ Workspace by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70345094700131,-74.00954108897992,Entire home/apt,305,30,0,,,10,214,0,
649265807138349981,Studio w/ Equipped Workspace in FiDi by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70433,-74.00972,Entire home/apt,318,30,1,2022-09-15,1,10,232,1,
649354423686835791,One Bedroom Apartment in Jersey City,229901556,Crismaldi,,Ward A (councilmember Denise Ridley),40.69759,-74.09172,Entire home/apt,185,1,4,2022-07-29,1.40,1,336,4,
649361804801721027,River View FiDi Studio w/ Home Office by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70561852543307,-74.00811439550306,Entire home/apt,270,30,1,2022-08-31,1,10,238,1,
649363164796505280,Studio in FiDi with Custom Home Office by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.704370391106856,-74.00978557143627,Entire home/apt,232,30,0,,,10,214,0,
649460819973675260,Boutique Apt fast WIFI TV sleep 4 one stop to NYc,1410306,Eugene,,Ward D (councilmember Michael Yun),40.74717,-74.02839,Entire home/apt,248,1,20,2022-09-04,6.45,32,52,20,
649880048973005506,Divine writer’s studio in Greenwich Village,29497388,Derek + Mona,,Ward E (councilmember James Solomon),40.733237379152904,-74.00143725585697,Entire home/apt,316,3,4,2022-09-13,1.76,1,2,4,
651298508956480805,Nice place to stay in great vacation home,461970352,Curtis,,Ward A (councilmember Denise Ridley),40.68775,-74.1097,Private room,400,1,0,,,1,267,0,
651331700144350980,"Modern one bedroom apartment - Tribeca, NYC",102585425,Callyn,,Ward E (councilmember James Solomon),40.71488748121523,-74.01033918863581,Entire home/apt,285,2,2,2022-09-06,1.00,1,0,2,
652684452906446279,"Private bedroom with bathroom, 10 mins from NYC",86848195,Diego,,Ward D (councilmember Michael Yun),40.7632,-74.03152,Private room,200,1,5,2022-09-05,2.31,1,263,5,
652799770913807611,Stunning High Floor 2BR 2BA in DownTown Manhattan,49095662,Sahar,,Ward E (councilmember James Solomon),40.71265,-74.01645,Entire home/apt,495,30,1,2022-08-30,1,1,103,1,
653420986663554669,Lovely one bedroom unit in New York near Wall St,9260925,Sara,,Ward E (councilmember James Solomon),40.711808141272485,-74.0067184880609,Entire home/apt,662,2,3,2022-09-12,1.05,1,6,3,
653464976592800631,"160 ""4S"" Private room/renovated bathroom/WIFI/NYC",6958867,Henry,,Ward D (councilmember Michael Yun),40.75096,-74.05038,Private room,38,29,1,2022-08-12,0.77,34,84,1,
653706852101984577,Luxury Apartment in Downtown Manhattan,408121620,Harrison,,Ward E (councilmember James Solomon),40.70768283497471,-74.0097953386659,Entire home/apt,188,3,4,2022-08-30,3.16,1,280,4,
653721376561998759,Private bedroom in Jersey City,333046870,Rances,,Ward B (councilmember Mira Prinz-Arey),40.71805,-74.08992,Private room,45,1,6,2022-08-31,3.40,3,1,6,
654211569077706590,Lovely one-bedroom in Jersey City- Close to NYC,169378464,Nicolette,,Ward E (councilmember James Solomon),40.72132,-74.03925,Entire home/apt,220,2,0,,,1,283,0,
654726207711039975,Cozy Luxury Retro Aesthetic Bedroom,94689282,Ron Jacob,,Ward E (councilmember James Solomon),40.71968929520102,-74.00610108565893,Private room,1056,1,0,,,1,364,0,
654796529144576816,Gorgeous Modern Large Brand New two bed apartment,17995417,Benjamin,,Ward F (councilmember Jermaine D. Robinson),40.70232,-74.07732,Entire home/apt,150,28,0,,,2,260,0,
654901560459084482,Lovely 1 Bedroom in West SoHo New York City,42154612,Alexander,,Ward E (councilmember James Solomon),40.72759251813259,-74.00131823479977,Entire home/apt,195,30,0,,,1,229,0,
655084915447823076,Sonder Battery Park | Superior One-Bedroom Apartment,219517861,Sonder (NYC),,Ward F (councilmember Jermaine D. Robinson),40.706,-74.01668,Entire home/apt,608,2,2,2022-08-22,0.79,31,301,2,
655420632727539073,Cozy and new 1BD/1BA apartment in West Village,448326434,Boomerang,,Ward E (councilmember James Solomon),40.7320198710865,-74.00081237195208,Entire home/apt,299,30,3,2022-09-14,2.09,24,240,3,
655757649786694921,FD/private bright large room/City view/Female Only,465736664,Fadi,,Ward F (councilmember Jermaine D. Robinson),40.705723552002695,-74.00954052749363,Private room,100,24,1,2022-08-26,1,2,344,1,
